MagicalEnergy,MagicalExperience,WizardFamily,Type
93,97,0,Wizard
61,94,1,Wizard
91,28,0,Wizard
82,53,1,Wizard
81,95,1,Wizard
84,54,1,Wizard
81,20,1,Wizard
81,59,0,Wizard
65,83,0,Wizard
74,41,1,Wizard
96,79,1,Wizard
92,83,1,Wizard
67,91,0,Wizard
64,30,0,Wizard
98,33,0,Wizard
63,79,0,Wizard
65,49,1,Wizard
91,54,1,Wizard
89,56,1,Wizard
94,24,0,Wizard
99,97,0,Wizard
75,45,0,Wizard
72,81,1,Wizard
89,23,1,Wizard
78,61,0,Wizard
76,37,1,Wizard
78,59,0,Wizard
87,91,0,Wizard
85,58,1,Wizard
96,33,0,Wizard
85,51,1,Wizard
82,70,0,Wizard
68,57,1,Wizard
71,42,1,Wizard
60,82,1,Wizard
60,34,0,Wizard
93,44,0,Wizard
91,36,1,Wizard
84,85,1,Wizard
99,97,0,Wizard
60,72,0,Wizard
75,70,0,Wizard
98,58,1,Wizard
64,70,0,Wizard
81,89,0,Wizard
88,25,1,Wizard
62,86,0,Wizard
71,26,0,Wizard
85,70,0,Wizard
75,91,1,Wizard
96,61,1,Wizard
81,83,1,Wizard
88,34,1,Wizard
73,48,1,Wizard
87,52,1,Wizard
64,46,1,Wizard
89,55,0,Wizard
64,48,0,Wizard
71,57,1,Wizard
75,76,0,Wizard
85,46,0,Wizard
85,74,1,Wizard
80,52,0,Wizard
98,87,0,Wizard
95,85,0,Wizard
92,29,0,Wizard
89,24,0,Wizard
96,93,1,Wizard
82,57,1,Wizard
69,32,1,Wizard
64,50,0,Wizard
95,66,1,Wizard
93,71,0,Wizard
90,75,0,Wizard
69,34,0,Wizard
78,48,0,Wizard
91,27,1,Wizard
60,24,1,Wizard
64,48,0,Wizard
63,66,1,Wizard
75,87,0,Wizard
83,95,1,Wizard
75,64,1,Wizard
61,21,0,Wizard
87,46,1,Wizard
91,55,0,Wizard
86,55,1,Wizard
79,45,0,Wizard
83,62,0,Wizard
71,46,1,Wizard
94,88,1,Wizard
92,39,0,Wizard
92,30,1,Wizard
96,93,1,Wizard
71,57,0,Wizard
62,25,0,Wizard
60,91,1,Wizard
92,42,0,Wizard
99,66,0,Wizard
69,65,0,Wizard
88,31,1,Wizard
72,32,1,Wizard
71,81,0,Wizard
90,79,1,Wizard
61,62,0,Wizard
94,95,1,Wizard
82,87,0,Wizard
76,24,0,Wizard
85,56,1,Wizard
67,91,0,Wizard
88,50,1,Wizard
85,28,1,Wizard
69,70,0,Wizard
85,48,0,Wizard
93,97,1,Wizard
100,59,0,Wizard
66,60,0,Wizard
63,30,0,Wizard
70,42,0,Wizard
88,20,0,Wizard
95,65,1,Wizard
84,40,1,Wizard
80,55,0,Wizard
95,73,0,Wizard
69,76,0,Wizard
96,20,1,Wizard
68,82,0,Wizard
83,73,1,Wizard
94,74,1,Wizard
94,59,1,Wizard
95,34,0,Wizard
77,40,1,Wizard
98,66,0,Wizard
91,92,1,Wizard
83,72,0,Wizard
82,28,1,Wizard
91,93,0,Wizard
96,71,1,Wizard
71,76,0,Wizard
72,45,0,Wizard
82,60,0,Wizard
84,54,0,Wizard
94,82,1,Wizard
100,44,1,Wizard
89,94,0,Wizard
76,57,1,Wizard
79,21,0,Wizard
84,26,0,Wizard
81,53,1,Wizard
72,36,0,Wizard
78,62,0,Wizard
95,78,1,Wizard
71,70,0,Wizard
100,73,0,Wizard
78,43,0,Wizard
71,44,0,Wizard
68,90,1,Wizard
66,71,1,Wizard
87,89,1,Wizard
73,52,0,Wizard
90,68,0,Wizard
78,48,1,Wizard
75,82,0,Wizard
64,41,0,Wizard
94,45,0,Wizard
71,47,0,Wizard
84,68,1,Wizard
80,90,1,Wizard
95,100,1,Wizard
82,68,0,Wizard
75,39,1,Wizard
98,82,1,Wizard
98,80,0,Wizard
73,68,0,Wizard
90,90,1,Wizard
64,20,1,Wizard
94,32,1,Wizard
82,70,1,Wizard
88,75,0,Wizard
70,81,1,Wizard
77,51,1,Wizard
71,49,0,Wizard
68,48,1,Wizard
69,68,0,Wizard
76,64,0,Wizard
97,49,0,Wizard
66,35,1,Wizard
72,59,1,Wizard
99,38,0,Wizard
68,37,1,Wizard
86,20,1,Wizard
61,97,0,Wizard
64,66,0,Wizard
88,85,1,Wizard
96,57,0,Wizard
97,70,1,Wizard
78,82,1,Wizard
67,23,1,Wizard
60,20,1,Wizard
81,27,0,Wizard
76,48,0,Wizard
66,74,0,Wizard
32,1,0,Muggle
5,4,0,Muggle
23,37,0,Muggle
18,1,0,Muggle
15,0,0,Muggle
39,21,0,Muggle
27,40,0,Muggle
32,24,0,Muggle
40,29,0,Muggle
12,8,0,Muggle
24,36,0,Muggle
35,9,0,Muggle
26,14,0,Muggle
37,2,0,Muggle
6,7,0,Muggle
4,24,0,Muggle
30,35,0,Muggle
22,20,0,Muggle
9,33,0,Muggle
31,26,0,Muggle
29,8,0,Muggle
38,9,0,Muggle
30,26,0,Muggle
17,24,0,Muggle
35,12,0,Muggle
1,3,0,Muggle
13,15,0,Muggle
12,11,0,Muggle
28,24,0,Muggle
11,15,0,Muggle
38,38,0,Muggle
1,1,0,Muggle
31,8,0,Muggle
12,12,0,Muggle
26,13,0,Muggle
40,11,0,Muggle
16,34,0,Muggle
39,21,0,Muggle
30,20,0,Muggle
33,2,0,Muggle
23,21,0,Muggle
34,8,0,Muggle
5,39,0,Muggle
18,2,0,Muggle
29,30,0,Muggle
6,36,0,Muggle
9,5,0,Muggle
40,13,0,Muggle
31,18,0,Muggle
33,17,0,Muggle
27,6,0,Muggle
14,35,0,Muggle
29,28,0,Muggle
36,2,0,Muggle
28,12,0,Muggle
21,35,0,Muggle
3,40,0,Muggle
19,24,0,Muggle
31,27,0,Muggle
35,37,0,Muggle
3,10,0,Muggle
26,40,0,Muggle
16,8,0,Muggle
11,21,0,Muggle
21,20,0,Muggle
16,18,0,Muggle
9,32,0,Muggle
0,3,0,Muggle
21,32,0,Muggle
25,15,0,Muggle
17,0,0,Muggle
13,14,0,Muggle
28,21,0,Muggle
11,31,0,Muggle
35,36,0,Muggle
34,22,0,Muggle
11,32,0,Muggle
6,39,0,Muggle
28,21,0,Muggle
10,39,0,Muggle
32,11,0,Muggle
5,17,0,Muggle
14,31,0,Muggle
31,2,0,Muggle
10,35,0,Muggle
22,0,0,Muggle
25,24,0,Muggle
33,19,0,Muggle
33,16,0,Muggle
28,21,0,Muggle
3,32,0,Muggle
16,25,0,Muggle
34,26,0,Muggle
12,33,0,Muggle
40,22,0,Muggle
38,15,0,Muggle
14,13,0,Muggle
28,40,0,Muggle
28,13,0,Muggle
10,25,0,Muggle
31,26,0,Muggle
1,39,0,Muggle
13,3,0,Muggle
19,8,0,Muggle
21,26,0,Muggle
10,38,0,Muggle
26,14,0,Muggle
2,24,0,Muggle
16,17,0,Muggle
27,29,0,Muggle
28,36,0,Muggle
20,15,0,Muggle
15,11,0,Muggle
36,16,0,Muggle
19,24,0,Muggle
5,14,0,Muggle
18,24,0,Muggle
4,20,0,Muggle
2,18,0,Muggle
0,23,0,Muggle
37,6,0,Muggle
14,11,0,Muggle
33,38,0,Muggle
34,10,0,Muggle
24,32,0,Muggle
23,24,0,Muggle
11,38,0,Muggle
17,33,0,Muggle
14,10,0,Muggle
15,15,0,Muggle
26,31,0,Muggle
7,14,0,Muggle
24,39,0,Muggle
16,14,0,Muggle
28,6,0,Muggle
7,36,0,Muggle
14,39,0,Muggle
26,1,0,Muggle
6,5,0,Muggle
2,35,0,Muggle
28,38,0,Muggle
23,37,0,Muggle
2,27,0,Muggle
19,21,0,Muggle
14,36,0,Muggle
24,4,0,Muggle
29,17,0,Muggle
13,10,0,Muggle
6,7,0,Muggle
16,19,0,Muggle
19,10,0,Muggle
35,26,0,Muggle
8,28,0,Muggle
37,24,0,Muggle
21,18,0,Muggle
1,1,0,Muggle
23,38,0,Muggle
7,1,0,Muggle
10,6,0,Muggle
12,30,0,Muggle
16,32,0,Muggle
7,10,0,Muggle
20,39,0,Muggle
17,39,0,Muggle
29,12,0,Muggle
17,9,0,Muggle
30,37,0,Muggle
37,19,0,Muggle
31,20,0,Muggle
10,13,0,Muggle
24,23,0,Muggle
32,39,0,Muggle
37,6,0,Muggle
40,4,0,Muggle
7,5,0,Muggle
10,39,0,Muggle
21,34,0,Muggle
23,8,0,Muggle
40,0,0,Muggle
16,38,0,Muggle
11,19,0,Muggle
31,5,0,Muggle
14,31,0,Muggle
15,12,0,Muggle
21,38,0,Muggle
27,39,0,Muggle
19,20,0,Muggle
32,36,0,Muggle
9,11,0,Muggle
39,5,0,Muggle
31,14,0,Muggle
32,20,0,Muggle
1,20,0,Muggle
32,27,0,Muggle
32,35,0,Muggle
40,16,0,Muggle
12,6,0,Muggle
29,22,0,Muggle
32,21,0,Muggle
12,9,0,Muggle
25,17,0,Muggle
21,1,0,Muggle
38,11,0,Muggle
1,38,0,Muggle
37,21,0,Muggle
38,21,0,Muggle
25,21,0,Muggle
14,5,0,Muggle
33,36,0,Muggle
39,19,0,Muggle
10,5,0,Muggle
2,8,0,Muggle
5,28,0,Muggle
8,36,0,Muggle
5,4,0,Muggle
8,12,0,Muggle
38,26,0,Muggle
30,22,0,Muggle
31,36,0,Muggle
40,33,0,Muggle
11,24,0,Muggle
7,36,0,Muggle
7,22,0,Muggle
27,27,0,Muggle
19,25,0,Muggle
6,11,0,Muggle
10,38,0,Muggle
19,2,0,Muggle
15,8,0,Muggle
3,14,0,Muggle
5,7,0,Muggle
21,27,0,Muggle
25,25,0,Muggle
2,15,0,Muggle
40,33,0,Muggle
13,19,0,Muggle
10,0,0,Muggle
17,23,0,Muggle
11,28,0,Muggle
22,3,0,Muggle
11,3,0,Muggle
12,37,0,Muggle
24,2,0,Muggle
18,39,0,Muggle
35,1,0,Muggle
7,28,0,Muggle
28,27,0,Muggle
31,11,0,Muggle
17,14,0,Muggle
5,40,0,Muggle
17,30,0,Muggle
18,36,0,Muggle
21,31,0,Muggle
36,21,0,Muggle
31,2,0,Muggle
40,16,0,Muggle
2,28,0,Muggle
27,11,0,Muggle
9,13,0,Muggle
34,7,0,Muggle
28,40,0,Muggle
14,1,0,Muggle
32,33,0,Muggle
6,23,0,Muggle
11,19,0,Muggle
29,9,0,Muggle
20,39,0,Muggle
30,6,0,Muggle
23,0,0,Muggle
19,9,0,Muggle
36,4,0,Muggle
3,39,0,Muggle
27,20,0,Muggle
19,8,0,Muggle
23,28,0,Muggle
31,30,0,Muggle
40,26,0,Muggle
35,5,0,Muggle
33,30,0,Muggle
35,40,0,Muggle
1,35,0,Muggle
14,1,0,Muggle
33,20,0,Muggle
35,33,0,Muggle
5,21,0,Muggle
38,12,0,Muggle
11,18,0,Muggle
2,32,0,Muggle
17,37,0,Muggle
39,39,0,Muggle
20,2,0,Muggle
14,37,0,Muggle
32,18,0,Muggle
34,6,0,Muggle
25,14,0,Muggle
7,37,0,Muggle
35,24,0,Muggle
29,21,0,Muggle
22,22,0,Muggle
13,9,0,Muggle
13,35,0,Muggle
1,36,0,Muggle
36,6,0,Muggle
4,24,0,Muggle
37,39,0,Muggle
40,40,0,Muggle
13,23,0,Muggle
38,4,0,Muggle
24,20,0,Muggle
19,39,0,Muggle
1,19,0,Muggle
38,28,0,Muggle
5,36,0,Muggle
16,19,0,Muggle
24,17,0,Muggle
27,3,0,Muggle
1,10,0,Muggle
34,21,0,Muggle
36,13,0,Muggle
4,27,0,Muggle
0,3,0,Muggle
39,15,0,Muggle
11,37,0,Muggle
35,22,0,Muggle
22,12,0,Muggle
30,19,0,Muggle
10,4,0,Muggle
9,18,0,Muggle
2,20,0,Muggle
13,4,0,Muggle
15,13,0,Muggle
9,35,0,Muggle
28,5,0,Muggle
9,4,0,Muggle
11,23,0,Muggle
29,28,0,Muggle
40,28,0,Muggle
0,1,0,Muggle
4,5,0,Muggle
19,33,0,Muggle
7,11,0,Muggle
11,21,0,Muggle
0,3,0,Muggle
19,5,0,Muggle
27,2,0,Muggle
36,12,0,Muggle
36,22,0,Muggle
11,34,0,Muggle
36,25,0,Muggle
27,8,0,Muggle
14,22,0,Muggle
5,3,0,Muggle
19,33,0,Muggle
13,36,0,Muggle
1,7,0,Muggle
8,33,0,Muggle
36,36,0,Muggle
19,5,0,Muggle
25,6,0,Muggle
28,40,0,Muggle
0,38,0,Muggle
34,35,0,Muggle
5,4,0,Muggle
36,2,0,Muggle
4,16,0,Muggle
32,18,0,Muggle
13,0,0,Muggle
11,36,0,Muggle
19,8,0,Muggle
23,3,0,Muggle
33,9,0,Muggle
24,31,0,Muggle
28,0,0,Muggle
38,22,0,Muggle
30,16,0,Muggle
22,29,0,Muggle
37,26,0,Muggle
19,14,0,Muggle
22,37,0,Muggle
15,6,0,Muggle
7,32,0,Muggle
20,4,0,Muggle
0,38,0,Muggle
7,33,0,Muggle
28,2,0,Muggle
31,31,0,Muggle
37,1,0,Muggle
4,15,0,Muggle
21,16,0,Muggle
33,11,0,Muggle
0,4,0,Muggle
25,3,0,Muggle
9,15,0,Muggle
29,17,0,Muggle
17,19,0,Muggle
16,8,0,Muggle
25,15,0,Muggle
7,34,0,Muggle
39,28,0,Muggle
11,29,0,Muggle
26,19,0,Muggle
7,21,0,Muggle
24,22,0,Muggle
3,35,0,Muggle
32,21,0,Muggle
0,0,0,Muggle
18,20,0,Muggle
30,18,0,Muggle
15,7,0,Muggle
13,4,0,Muggle
4,39,0,Muggle
40,28,0,Muggle
25,17,0,Muggle
27,28,0,Muggle
1,14,0,Muggle
5,30,0,Muggle
8,14,0,Muggle
32,2,0,Muggle
40,32,0,Muggle
24,23,0,Muggle
12,37,0,Muggle
8,23,0,Muggle
12,12,0,Muggle
30,26,0,Muggle
40,32,0,Muggle
10,18,0,Muggle
3,24,0,Muggle
33,5,0,Muggle
37,32,0,Muggle
3,24,0,Muggle
37,22,0,Muggle
18,16,0,Muggle
5,20,0,Muggle
33,19,0,Muggle
17,11,0,Muggle
12,12,0,Muggle
40,17,0,Muggle
22,21,0,Muggle
18,23,0,Muggle
10,32,0,Muggle
0,2,0,Muggle
23,16,0,Muggle
6,38,0,Muggle
24,31,0,Muggle
20,16,0,Muggle
14,24,0,Muggle
0,7,0,Muggle
11,34,0,Muggle
6,28,0,Muggle
14,11,0,Muggle
20,35,0,Muggle
18,8,0,Muggle
28,25,0,Muggle
24,21,0,Muggle
32,30,0,Muggle
31,29,0,Muggle
34,14,0,Muggle
37,32,0,Muggle
25,2,0,Muggle
10,33,0,Muggle
34,16,0,Muggle
7,4,0,Muggle
13,29,0,Muggle
9,14,0,Muggle
1,38,0,Muggle
8,7,0,Muggle
2,37,0,Muggle
20,27,0,Muggle
25,20,0,Muggle
7,9,0,Muggle
1,27,0,Muggle
5,20,0,Muggle
27,27,0,Muggle
28,21,0,Muggle
25,37,0,Muggle
24,18,0,Muggle
11,37,0,Muggle
4,23,0,Muggle
33,27,0,Muggle
36,12,0,Muggle
14,8,0,Muggle
35,8,0,Muggle
14,20,0,Muggle
22,23,0,Muggle
5,30,0,Muggle
20,28,0,Muggle
22,39,0,Muggle
15,9,0,Muggle
14,3,0,Muggle
24,2,0,Muggle
35,12,0,Muggle
10,20,0,Muggle
14,7,0,Muggle
3,8,0,Muggle
20,0,0,Muggle
12,13,0,Muggle
21,11,0,Muggle
18,35,0,Muggle
33,21,0,Muggle
13,35,0,Muggle
3,15,0,Muggle
26,10,0,Muggle
28,2,0,Muggle
27,33,0,Muggle
34,24,0,Muggle
7,25,0,Muggle
15,2,0,Muggle
35,19,0,Muggle
29,30,0,Muggle
17,0,0,Muggle
1,25,0,Muggle
12,24,0,Muggle
3,10,0,Muggle
25,15,0,Muggle
24,19,0,Muggle
29,37,0,Muggle
10,1,0,Muggle
6,28,0,Muggle
30,6,0,Muggle
9,39,0,Muggle
38,24,0,Muggle
12,3,0,Muggle
30,33,0,Muggle
6,24,0,Muggle
35,7,0,Muggle
19,31,0,Muggle
3,17,0,Muggle
6,39,0,Muggle
0,10,0,Muggle
12,36,0,Muggle
21,38,0,Muggle
20,35,0,Muggle
21,9,0,Muggle
27,5,0,Muggle
8,15,0,Muggle
25,24,0,Muggle
8,33,0,Muggle
14,30,0,Muggle
9,7,0,Muggle
23,16,0,Muggle
7,13,0,Muggle
23,29,0,Muggle
15,17,0,Muggle
25,35,0,Muggle
26,20,0,Muggle
36,30,0,Muggle
3,32,0,Muggle
23,22,0,Muggle
18,37,0,Muggle
35,4,0,Muggle
38,14,0,Muggle
9,29,0,Muggle
24,15,0,Muggle
17,39,0,Muggle
18,28,0,Muggle
35,27,0,Muggle
9,5,0,Muggle
32,4,0,Muggle
4,37,0,Muggle
34,24,0,Muggle
33,27,0,Muggle
32,0,0,Muggle
20,13,0,Muggle
16,18,0,Muggle
21,30,0,Muggle
36,14,0,Muggle
14,18,0,Muggle
34,37,0,Muggle
27,31,0,Muggle
6,30,0,Muggle
31,36,0,Muggle
10,25,0,Muggle
9,40,0,Muggle
8,24,0,Muggle
13,39,0,Muggle
12,7,0,Muggle
24,3,0,Muggle
1,30,0,Muggle
34,31,0,Muggle
6,33,0,Muggle
20,2,0,Muggle
17,40,0,Muggle
2,25,0,Muggle
38,3,0,Muggle
40,1,0,Muggle
10,18,0,Muggle
38,22,0,Muggle
23,24,0,Muggle
18,6,0,Muggle
3,7,0,Muggle
25,2,0,Muggle
37,22,0,Muggle
31,32,0,Muggle
38,27,0,Muggle
35,21,0,Muggle
39,34,0,Muggle
36,33,0,Muggle
32,29,0,Muggle
35,35,0,Muggle
2,13,0,Muggle
8,8,0,Muggle
7,21,0,Muggle
32,27,0,Muggle
5,40,0,Muggle
40,13,0,Muggle
38,14,0,Muggle
3,36,0,Muggle
12,23,0,Muggle
1,33,0,Muggle
4,2,0,Muggle
26,22,0,Muggle
31,19,0,Muggle
20,14,0,Muggle
7,15,0,Muggle
37,6,0,Muggle
7,32,0,Muggle
2,18,0,Muggle
2,17,0,Muggle
21,40,0,Muggle
5,17,0,Muggle
1,2,0,Muggle
22,2,0,Muggle
1,35,0,Muggle
37,15,0,Muggle
16,22,0,Muggle
34,22,0,Muggle
33,14,0,Muggle
22,8,0,Muggle
29,39,0,Muggle
7,37,0,Muggle
21,17,0,Muggle
35,37,0,Muggle
4,5,0,Muggle
12,36,0,Muggle
28,5,0,Muggle
30,20,0,Muggle
15,29,0,Muggle
29,27,0,Muggle
15,19,0,Muggle
11,18,0,Muggle
16,13,0,Muggle
15,0,0,Muggle
11,26,0,Muggle
7,31,0,Muggle
19,28,0,Muggle
2,30,0,Muggle
15,24,0,Muggle
29,6,0,Muggle
22,38,0,Muggle
27,15,0,Muggle
39,10,0,Muggle
4,17,0,Muggle
19,4,0,Muggle
39,1,0,Muggle
0,9,0,Muggle
29,25,0,Muggle
20,23,0,Muggle
19,25,0,Muggle
5,15,0,Muggle
21,24,0,Muggle
17,37,0,Muggle
7,5,0,Muggle
38,11,0,Muggle
31,8,0,Muggle
32,7,0,Muggle
15,30,0,Muggle
11,40,0,Muggle
37,31,0,Muggle
33,6,0,Muggle
13,31,0,Muggle
35,24,0,Muggle
32,32,0,Muggle
22,27,0,Muggle
1,10,0,Muggle
40,30,0,Muggle
20,9,0,Muggle
1,1,0,Muggle
26,3,0,Muggle
8,21,0,Muggle
0,27,0,Muggle
10,9,0,Muggle
2,1,0,Muggle
22,30,0,Muggle
25,22,0,Muggle
3,15,0,Muggle
17,8,0,Muggle
5,5,0,Muggle
34,24,0,Muggle
21,3,0,Muggle
14,11,0,Muggle
21,23,0,Muggle
36,26,0,Muggle
11,2,0,Muggle
37,11,0,Muggle
17,29,0,Muggle
34,11,0,Muggle
29,40,0,Muggle
23,39,0,Muggle
29,21,0,Muggle
13,14,0,Muggle
5,27,0,Muggle
2,16,0,Muggle
15,24,0,Muggle
6,2,0,Muggle
13,35,0,Muggle
8,30,0,Muggle
14,14,0,Muggle
20,27,0,Muggle
34,30,0,Muggle
1,19,0,Muggle
26,20,0,Muggle
1,26,0,Muggle
34,18,0,Muggle
17,35,0,Muggle
13,11,0,Muggle
19,34,0,Muggle
