질문,답변
마이스터고를 나왔는데 전공이 저와 맞지 않는 것 같아요.,"마이스터고에서 배운 전공지식은 여러 분야에서 유용하게 활용될 수 있습니다. 현재 전공이 맞지 않다고 느낀다면, 관심 있는 분야나 새로운 분야를 탐색해보고 자기계발에 주력해보세요. 전공과는 다른 분야에서도 성공할 수 있습니다. 자신의 역량을 믿고 다양한 경험을 쌓으며 새로운 가능성을 모색해보세요. 항상 자신을 믿고 도전하는 자세로 앞으로 나아갈 수 있을 것입니다."
학교에서 걱정거리가 너무 많아,주변 친구들에게 상담을 받아보는 건 어때요? 걱정거리를 털어 놓는 것도 좋은 방법이예요.
요즘 나의 진로에 대해 너무 걱정 돼,생각하는 시간을 가져보아요. 생각하는 시간을 갖고 생각 정리를 해보는 게 어떨까요?
수업시간에 너무 피곤해서 자꾸 졸게 돼,하루 적정 수면시간은 6~8시간이에요. 잘 지켜지고 있는지 확인해봐요.
다른 친구들에 비해 나만 너무 뒤 떨어지는 느낌이야,너무 자책 할 필요 없어요. 모두가 어려움을 한 번씩 겪고 그게 지금일 뿐이에요.
수업에 집중이 안 돼,"당이 떨어진 건 아닐까요? 초콜릿, 사탕 둘 중에 뭘 좋아해요?"
요즘 친구들과 사이가 좋지 못 해,많이 힘들겠어요. 친구들과 대화를 해보는 건 어때요?
전학에 대해 고민이 생겼어,자신의 미래에 대해 고민을 하는 것은 좋은 것이죠. 하지만 불확실한 것에 매달리는 것은 때론 독이 돼요.
나의 전공보다 다른 분야에 관심이 가기 시작했어.,취미 생활이 있나요? 그 분야를 취미 생활로 하는 것도 좋을 것 같아요!
대학에 가고 싶어졌어,마이스터고는 재직자전형으로 대학을 가는 방법이 있어요.
내가 노력한 만큼 성적이 오르지 않아서 속상해,성장은 계단식 이라는 말이 있어요. 지금 당장은 몰라도 분명 노력이 빛을 발휘 할 거예요.
미래가 걱정돼요,반대로 모든 미래를 아는 것도 무섭지 않을까요? 당신의 미래는 그 누구도 어떻게 될지 몰라요! 미래가 너무 밝아서 걱정이라고 생각을 하는 건 어떤가요?
공부를 못하면 인생이 망하나요,아니요 그렇지 않아요 공부는 나의 적성과 기본 상식을 기르기 위한 방법이지 다른 방법을 찾거나 다른 즐거운 일을 하면서 살아도 괜찮아요
전공분야에서 뭘 깊숙하게 팔지 궁금해요,그러면 눈에 띄는 언어부터 깊숙하게 파보는건 어떤가요?
인간관계에 너무 얽메이는것 같아요,그럴 필요 없어요! 가장 중요한 건 나 자신! 자신을 위해 생각하고 행동해봐요~
할게 너무 많은 데 계속 미뤄서 걱정이에요,음.. 다른걸 미루는건 어떠신가요?
말을 너무 험하게 해서 걱정이에요,마음속으로 생각한 후 말하는게 좋을 것 같아요
아직 어린이 같은데 어른이 되어서도 이러면 어쩌죠?,그것도 하나의 매력이라고 생각합니다. 그렇지만 분명 변할거에요.
많이 자도 너무 피곤해요,이런.. 어디가 좋지 않은가 보군요. 분위기 전환을 해보는 건 어떠신가요
학교를 다니면서 너무 이기적으로 변하는 것 같아요,괜찮아요. 모두 각자의 개성이 있으니까
너무 생각없이 사는 것 같아요,그런 생각하는거 자체가 생각하면서 사는게 아닐까요?
난 진로를 아직도 못 정했어,많이 고민 되겠어요 진로는 차차 정해가면 된답니다
친구들과 자꾸 비교하게 돼,당신이라는 사람은 단 한명 밖에 없어요 자신감을 가져봐요
수업 듣기가 너무 힘들어,힘들겠어요 그럴 때는 잠깐 스트레칭으로 환기를 해주는 것이 좋아요
발표하는게 너무 떨려,자신감을 갖고 큰 목소리로 해보면 점점 적응 될거에요
살이 너무 많이 쪘어,외적인 모습이 다가 아니랍니다
친구가 내 말을 잘 들어주지 않아,속상했겠다 너의 말을 분명히 전달하면 친구도 잘 들어 줄 거에요
요즘 사고 싶은 게 너무 많아,꼭 사고 싶은 거 하나만 추려서 사는 게 합리적인 소비일거에요
요즘 핸드폰을 너무 많이 해,핸드폰 보다 더 재밌는 게 많을 거에요 새로운 취미생활을 만들어 보는 것이 좋아요
잘 안 맞는 친구들과 어떻게 놀면 좋을까,한번 쯤은 새로운 방식을 시도 하는 것도 나쁘지 않아요
친구의 말에 의미 부여를 하게 돼,힘들겠어요 하지만 걱정하지마세요 친구의 말 뜻은 누구도 알 수 없어요
친구와 반이 나뉘어지면서 사이도 멀어지게 된 것 같아.,친구와 서먹해진 것 만큼 속상한 일이 없죠. 그래도 그런 감정이 드는 것은 친구와 무척 가깝기 때문에 느껴지는 거랍니다. 친구도 당신의 이런 마음과 같은 마음일 거에요.
내 진로를 아직까지도 모르겠어.,"자신이 제일 좋아하는 일을 떠올려보세요. 그리고 그 일과 관련된 분야를, 분야 다음에는 직업들을 살펴보면서 진로를 정해보세요. 조금 늦어도 괜찮아요. 속도는 모두 다르니깐요."
시간을 어떻게 잘 활용해야할지 모르겠어.,다이어리같이 하루를 계획할 수 있는 요소를 이용해보세요. 당신이 마음먹을수록 계획은 이루어진답니다.
덕질때문에 부모님과 의견이 안 맞아서 싸웠어.,"저런 속상하시겠어요. 자신이 좋아하는 분야로 가장 사랑하는 사람과 싸우는 경험은 늘 받아들이기 어렵죠. 한 번 부모님께 자신이 이 분야를 왜, 얼마나 좋아하는지 설명하면서 설득해보는건 어떨까요?"
공부하는 목적을 모르겠어. 왜 해야할까?,자신이 자신을 발전시키는 수단으로 사용하는 가장 평균적인 방법이 공부일 뿐이에요. 평균에 꼭 자신을 맞출 필요는 없답니다.
다들 나보다 더 잘해서 짜증나.,감정이 격양된것은 그만큼 큰 의지가 있다는 거에요. 자신의 그런 의지를 감정이아니라 과정에 사용해보세요.
모두 나를 싫어하는 것 같아.,"아뇨, 그렇지 않아요. 당신을 싫어하는 것은 소수에요. 그 소수에 둘러쌓여있다고해서 당신이 위축될 필요는 없어요."
"내 친구에게 내 마음을 털어놓았었는데, 그 친구는 심드렁한 반응이라 속상해.",많이 힘드시겠어요. 친구에게 무시를 당한 것 같은 느낌도 들거에요. 하지만 너무 마음쓰지 말아주세요. 마음을 덜어놓은 만큼 행복한 일이 다시 마음을 채워줄거에요.
인싸의 가면이 너무 힘들어.,"오, 자신을 가면이라고 칭하지 말아주세요. 당신이 주위를 배려하며 흩뿌린 행복한 기운이 당신 곁에 늘 사람이 가득하게 된 거에요. 가면이 아닌 당신이 이룬 일이에요. 그래도 만약 지쳐서 쉬고싶다면 자신만의 취미를 하나 만들어 보세요."
제가 내향적이라 사람과 대화하면 얼어버려요.,부모님과 많이 이야기를 해보세요. 자연스럽게 대화의 흐름을 잡을 수 있게 될 거에요.
요즘 너무 심심해,그랬구나. 다양한 취미 생활을 해보는 건 어때?
성숙한 사람이 되고싶어,먼저 내면의 모습이 성숙해져야해. 자신을 되돌아보는건 어때
친구를 어떤 방법으로 위로해줄까,진심을 담아서 진지하게 대화해보는건 어떨까
친구가 경쟁자처럼 느껴져요,그럴때는 사람들과 많이 소통하면서 만나보면 어떨까
나에게 맞는 적성을 찾을 수 있을까,자기자신에 대해서는 본인이 가장 잘알기떄문에 진지하게 고민해보고 충분이 느껴보는게 어떨까
부모님이 나의 의견을 존중해주지 않아,진짜 속상했겠다. 부모님에 정확하게 너의 의견을 어필해보는건 어떨까
핸드폰을 너무 많이 사용해서 문제야,힘들었겠다. 스스로 규칙을 만들어서 조금씩 지켜보는 건 어떨까
요즘 스트레스가 점점 심해져,고생 많이 했겠다. 기분 좋게 조금씩 운동을 해보는건 어때
친구에게 서운한 일이 많아져,그렇다면 너의 감정을 솔직하게 표현헤보는건 어때
내가 꿈을 이룰 수 있을까,목표에 한 단계씩 다가가는 일을 의미있는 일이죠 힘내세요
학교 생활이 너무 힘들어요. 공부가 너무 많아요,"당신이 지금 하고 있는 공부는 무엇을 위해서 하고 있는지 한번 살펴보세요. 혹시 그저 하라고 해서 하고 있는 건 아닌가요? 주변에서 당신의 인생을 책임져 주지 않는 이상 자기 인생은 자기가 책임져야 합니다. 그 공부를 해서 얻을 수 있는 이익이 다른 것에 똑같은 노력을 해서 얻을 수 있는 이익보다 많아면, 그 공부는 나쁘지만은 않다고 봅니다. 하지만 만약 그렇지 않다면 지금 하고 있는 노력에 대해서 다시 생각해 보는 것도 좋을 것 같네요."
친구들과 대화할 때 말을 잘 못하는데 어떻게 하면 좋을까요?,그렇다면 말을 줄이고 들어주는 건 어떠신가요? 실제로 사람들은 자신의 말을 잘 들어주는 사람을 더 좋아한다고 합니다. 당신이 말하는 것을 잘 못한다면 훨씬 편하고 적은 노력으로 더 좋은 사람으로 보이는 좋은 방법입니다.
앞으로의 진로가 고민이에요. 이렇게 계속 살아도 될까요?,"일단, 그 질문을 한 순간부터 당신은 희망이 보입니다. 짝짝짝 대단해요~~^^ 그리고 그 질문에 대한 답은 이미 알고 있지 않나요? 당신이 하고 있는 노력에 대한 목표가 확실하다면 그런 질문을 하지 않는 답니당~ 하지만 그럼에도 정말 하나도 모르겠어서 들어온 거라면 일단 상상을 해보세요. 지금 하는데로 살아서 졸업을 했다면 앞으로 어떻게 될지 생각해보세요. 만약 미래가 보이지 않거나 가능성이 너무 적다면 다른길을 알아보는 것을 추천드립니다. 직업의 추천 폭은 첫번째로 당신이 사회인으로서 설 수 있는가. 즉, 못해도 돈을 평균적으로 벌 수 있는 직업을 고르라는 겁니다. 그렇게 하면 미래에 당신은 현재 지금을 후회하지는 않을 겁니다. 두번째는 당신이 흥미 있는 분야를 정하십시오. 이렇게 직업의 범위를 정한 후에 그 범위 안에 들어가는 직업을 정리하고, 그 직업을 가질 수 있게 조금씩 노력하는 겁니다. 그러면 나중에 진로가 바뀌더라도 도움이 될 수 있을 겁니다."
제가 너무 게을러요. 어떻게 하면 게으르지 않을 수 있을까요?,"1. 그 일을 할 수 밖에 없는 상황을 만드세요 2. 5초의 법칙에 따라 5, 4, 3, 2, 1을 세고 빵!! 하고 일어나 할일을 하는 겁니다. 3. 마음을 다잡으세요."
선생님과 잘 지내고 싶어요. 평소에 말을 잘 못했는데 어떻게 하면 좋을까요?,"여러 방법을 겹쳐서 사용하는 것을 추천드립니다. 6가지 방법을 알려드리겠습니다. 1. 수업시간에 열심히 들으세요. 일단 먼저는 듣는 겁니다. 앞에서 초롱초롱 맑은 눈의 광인이 되십시오. 2. 질문을 자주 하세요. 선생님은 학생이 하는 질문을 좋아하십니다. 물론 계속 말씀하셨던 것과 같은 질문은 하지 마세요. 3. 인사를 잘 하세요. 인사 잘해서 욕먹는건 들어본적 없습니다. 4. 선생님을 도와드리세요. 선생님이 무거운 자료를 들고 오셨다면 솔선수범으로 도와드리고, 수업시간에 컴퓨터를 켜놓는다거나 칠판을 지우고, 출석부를 미리 갖다 놓는 등의 수업준비를 미리 하는 겁니다. 5. 감사할일이 있으면 표현하세요. 선생님께 서운한 것, 화난것만 표현하지 마시고, 고마웠던 것, 감사했던 것도 표현해보세요. 표현할 수록 좋답니다. 6. 성적을 높게 유지하세요. 어떤 선생님이든 자신이 맡은 과목에서 공부 잘하는 학생은 눈에 띄기 마련입니다. 그리고 보통 공부 잘하는 학생이 수업시간에 열심히 듣고 질문 많이하고 인사 잘하고 선생님을 잘 도와드립니다."
선배들과 잘 지내고 싶은데 먼저 다가가기가 무서워요.,"일단, 무서워할 이유가 없습니다. 선배들은 후배들에 대해 아무 생각이 없거든요. 먼저 다가와주기 기다리는 선배들이 있죠. 먼저 다가가 보세요. 인사하고 자신을 소개하세요. 그리고 선배와 친하게 지내고 싶다고 하세요. 거절해도 나쁘게 생각하진 않을 겁니다."
해야 할 일을 자꾸 까먹어요.,작은 메모장을 가슴팍 주머니에 두고 다니세요. 그리고 생각날 때마다 확인하세요.
학교 올 때 출근 시간과 겹쳐서 너무 힘들어요,경험담입니다. 1시간 일찍 나오세요. 그럼 널널할겁니다.
학교 거리가 너무 먼 것 같아요.,자취(사회를 일찍 배울 수 있을겁니다)하세요. 아니면 기숙사에 다니세요. 그것도 안되면 그냥 일찍 다니세요. 그 시간에 단어장이나 웹툰을 보면 시간은 순삭입니다. 일찍 일어날 수도 있구요.
학교에서 흑역사를 만들어버렸는데 쪽팔려서 어떻게 다니죠?,어짜피 다들 흑역사 하나씩은 가지고 있습니다. 그냥 망각하세요. 그리고 말하는 사람이 있으면 뻔뻔하게 굴면 대부분 해결됩니다. 그리고 다시는 하지 마세요.
학교에 적응을 잘 할지 고민이에요.,사람은 적응의 동물입니다. 충분히 잘 할 수 있어요.
발표를 할 때 긴장해서 말이 잘 안 나와요.,발표는 연습과 자신감이 중요해요. 미리 발표 내용을 숙지하고 가까운 사람 앞에서 연습해보세요. 자신을 잘 믿고 긍정적인 생각을 갖는 것도 도움이 될 수 있습니다.
나중에 커서 뭘 해야 할지 모르겠어,"자신이 어떤 분야에 관심을 가지고 있고, 어떤 활동을 할 때 가장 열정적이고 흥미로움을 느끼는 지를 고려해보세요."
요즘 너무 예민해진 것 같아요,요즘 힘든 일들이 많은 가봐요. 힘내세요!
자퇴할까?,자퇴하기엔 아직 도전해보지 않은것들이 많은걸요?
친한 친구가 없어,혹시 주변을 잘 돌아봤니?
시간이 부족해요,초조해 하지 말고 계속 화이팅!!!
좋아하는 사람이 생겼어,축하드립니다. 자연스러운 것이니 너무 걱정하지 마시고 마음을 전해보시는 것은 어떨까요?
맨날 책상에 앉아있어서 허리도 아프고 목도 아파,쉬는시간마다 틈틈히 스트레칭 필수야 !
학교에서 발표할때 너무 긴장돼서 말이 잘 안나와,연습과 준비를 철저히 한다면 잘 수행할 수 있을거야. 발표 전에 긴장을 풀기 위한 행동을 하는 것도 좋을 거 같아.
어제 무서운 꿈을 꿨어,요즘 스트레스를 많이 받는 일이 있으셨나요? 지금은 진정이 되셨길 바랄게요.
졸업하기 싫어요.,3년의 학교 생활로 고교 생활의 막을 내릴 때가 왔군요. 지금까지의 학교 생활은 앞으로의 인생에 많은 도움이 될 것입니다. 이제는 놓아주세요!
요즘 내가 나 같지 않아,요즘 많이 힘드셨나 보군요... 나를 찾아가는 일기를 써보는 건 어떨까요?
결정장애가 있는게 아닐까..?,무언가 결정하기 어렵다면 상시 룰렛을 가지고 다니세요! 쉽게 해결될지도?
나는 왜 살까?,우리는 분명 이곳에서 해야할 일이 있기때문에 태어났을거에요 너무 낙심하지 말아요 우린 성과를 이루고 말테니까요
스트레스 푸는 방법 추천해줘,"- 소리지르기, 열심히 달리기, 노래부르기, 매운먹기 음식등이 있습니다"
선생님의 수업에 집중하지 못하겠어요.,"한 번 일찍 잠들어보는 것은 어떨까요? 그리고 미디어를 충분히 치워두고, 내 앞엔 책과 필기도구만 놓는 겁니다."
프로젝트를 진행하면서 팀원들과 의견 충돌이 자주 일어나요.,프로젝트에서 의견 충돌은 흔한 일이에요. 상대방의 의견을 경청하고 존중하는 자세를 가지며 문제를 해결해보세요. 원활한 소통과 협력이 중요합니다.
학교 규칙이 좀 융통성이 없는 것 같아,학교 관리자나 교사와 대화하여 규칙에 대한 의견을 표현해보세요.
성적이 점점 떨어져요,너무 걱정하지 마세요! 열심히 공부하면 성적이 좋아질 수 있어요!
매점 물가가 너무 비싸,저도 그렇게 생각해요 매년마다 조금씩 오르고 있는것 같아요
언어가 너무 많은데 하나만 깊게 공부하고 싶어,나중에 따로 시간을 내서 심화 스터디를 하는건 어떨까
자존감이 떨어져요 ㅠㅠ,항상 긍정적이려는 마인드를 유지하고 건강한 삶을 살아보아요 화이팅!
공부 언제 시작할까?,휴식도 꼭 필요한 것이죠. 적절하게 시간을 분배해서 휴식시간을 가진 뒤 공부를 해보는 것은 어떨까요?
스트레스를 너무 많이 받아서 배가 아파,학교 위클래스에 가서 상담을 받아봐
과제를 효율적으로 처리하는 방법이 있을까,일정을 캘린더 같은 곳에 적어두며 철저히 관리하고 마감일을 꼭 염두해두면 좋을 것 같아. 당일날 처리하기보단 미리미리 조금씩 해나가도록 노력해봐
만약 지구에 운석이 떨어진다면 어떻게 할거야?,정말 무서운 일이네요! 저는 사과 나무 한그루를 심겠어요. 질문자님은 무엇을 하실건가요?
공부한 만큼 점수가 안 나온 것 같아 속상해요.,당신이 공부한 과정은 결코 헛되지 않습니다. 점수는 기대한 만큼 나오지 않았더라도 당신의 머릿속에 결과가 있습니다.
계속 잠이 오는데 큰일이야,잠이 계속 온다는 건 수면이 부족하다는 뜻이겠죠. 수면 습관을 점검 해보고 오늘은 일찍 자보는 건 어떨까요?
진짜 친구가 없는 것 같아,누군가는 당신을 진정으로 좋아하고 있을지도 몰라요. 그래도 힘들다면 본인이 좋아하는 친구에게 더욱 적극적으로 다가가면 어떨까요?
부모님과 싸웠어,부모님과 다투어서 많이 속상하시겠어요. 갈등에는 오해에서 항상 문제가 생기죠 빠른 시일내로 침착하게 오해를 푸시길 바래요
제 꿈을 못정하겠어요,먼저 본인이 하고싶은 일이 무엇인지 생각해보는건 어떤가요?
제가 하고 싶은 게 뭔지 모르겠어요.,하고 싶은 건 60대에서도 찾아오기 마련입니다. 아직 못 찾았다고 해서 전전긍긍하지 마세요. 오히려 그게 더 늦게 찾게 되는 길일 수도 있습니다.
수업에 대한 흥미가 없어요. 어떻게 해야 할까요?,수업에 대한 흥미를 높이기 위해 관심을 갖고 참여해보세요. 질문하거나 자신의 생각을 표현하는 것도 도움이 될 수 있어요. 주제에 대해 더 깊이 공부해보는 것도 좋은 방법입니다.
친구들은 다 알아서 잘하는데 나만 뒤쳐져서 불안해,"다른 사람들이 성공하거나 잘하는 모습을 보면 자신과 비교하고 불안해 할 수 있습니다. 하지만 사람에게는 개인적인 시간과 속도가 있으며, 다른 사람들과 비교하기보다는 자신의 성장과 개발에 집중하는 것이 좋습니다."
아직 저에게 맞는 분야를 찾지 못 했어요,"다양한 전공 수업을 들어보고, 다양한 프로젝트를 해보면서 자신이 어떤 분야에 맞는지 찾아보세요"
전학갈까?,전학을 가기엔 너무 늦지 않았을까요?
괜히 이 학교에 왔나,후회할수 있지만 너의 선택에 책임은 져야 할거야
외모에 콤플렉스가 생겼어요,거울을 보며 장점만 찾아요! 단점이라곤 없는 나니까^^
한 게임에 깊게 빠져서 아무것도 못하겠어,중독은 일상생활을 헤치기 때문에 운동처럼 건강한 습관을 만드는 것을 응원합니다.
할 일은 많은데 잠이 너무 와서 그냥 자버릴 때가 있어,일찍 자고 아침에 더 일찍 일어나는 건 어때?
공부에 집중할 수 있는 방법이 있을까,우선 학습환경을 조성하는 게 중요해. 휴대폰같은 시선이 분산될만한 요소는 없애는 게 좋을 것 같아
다음주가 시험인데 오늘은 놀아도 되겠지?,"휴식은 중요한 법이죠! 하지만 시간을 정해둔 다음 그 시간만큼 놀고, 그 후에는 공부를 하기로 해요"
수업 시간에 자꾸 딴 짓을 하게 돼요.,딴 짓을 하는 만큼 성적이 내려간다고 생각해보세요.
내일 면접인데 내가 잘할 수있을까?,지금까지 해왔던 것 만큼만! 잘할 수 있을 거에요!
아무나 붙잡고 시비걸고싶어,"그 사람도 누군가에겐 소중한 가족, 친구, 연인일거라고 생각해보아요"
친구가 너무 없어..,제가 친구가 되어드릴게요. 또한 친구를 사귀기위해 한발짝 다가가보는건 어떠신가요?
자존감이 떨어져요,자신이 무력하다고 생각하지 않기입니다. 항상 내가 하는 일에 최선을 다하고 할 수 있다는 마음가짐입니다. 만족감이 낮아도 포기하지 않고 재도전헤보아요
제 진로를 아직도 찾지 못했어요.,진로는 굳이 찾지 않아도 됩니다. 주변 친구들이 찾았다고 해서 본인도 빨리 찾아야 한다는 법은 없어요. 언젠가 고스란히 하고 싶은 걸 찾게 될 겁니다.
"학업과 동아리 활동, 친구들과의 만남을 어떻게 균형있게 조절해야 할까요?","균형을 맞추기 위해서는 우선순위를 정하는 것이 중요해요. 시간 관리를 효율적으로 하고 우선해야 할 일에 집중하며, 필요한 경우 도움을 청하는 것도 좋은 방법이에요."
요즘 딱히 무슨 일이 있는 것도 아닌데 그냥 우울해,일상에서 조금의 여유 시간을 가져보세요. 관심사나 취미에 시간을 할애하거나 휴식을 취할 수 있는 방법을 찾아보세요.
제가 뭘 잘하는지 모르겠어요,다양한 전공 수업을 들어보면서 자신이 잘하는 게 뭔지 찾아봐요
주번조회 가기 싫어,하지만 안가면 1대 1 면담인걸요
하고 싶은건 많은데 시간이 없어,쉬는시간 이나 자습시간을 활용해보자
공부가 하기 싫어요,미래에 하고 싶은 것을 생각해보며 버텨보는 것은 어떨까요? ㅠㅠ
가족이랑 사이가 안좋아,가장 가까운 사이가 사이가 안 좋다니 힘드시겠네요. 같이 밥 한끼 먹자는 얘기를 꺼내보는것은 어떨까요?
학급 분위기에 어울리기 힘들어,넌 너니까 굳이 남한테 맞출 필요 없다고 생각해
학교에서 스트레스를 풀 방법이 있을까?,쉬는 시간에 짧게 친구들과 운동 또는 놀이를 하거나 상담을 받아보는 것도 좋을 것 같아
읽기 쉽고 재밌는 책이 뭐 없을까?,"스토리도 재밌고, 많은 사람들이 좋아한 책인 '나미야의 잡화점의 기적' 책을 추천드릴게요"
체육대회에서 1등 하고 싶어요.,반 친구들과 함께 협동하여 꾸준히 연습한다면 1등을 놓치지 않을 거예요!
만사가 귀찮아,살다보면 만사가 귀찮아 지는 때가 올 수 있답니다. 매일 하나 씩 목표를 정해두는 건 어떨까요?
여자친구가 필요해,사람이 많은 곳으로 놀러갑시다! 자신의 매력을 발산시킬 아이템을 장착하세요!
내가 하고싶은 것을 부모님이 반대해,부모님께 이 길을 가야하는 타당한 이유를 말해보세요. 결국 인생을 사는건 본인이니까요
시간이 항상 부족한거 같아요,미리 계획을 세우고 따라보면 효율적이지 않을까요?!
선생님의 말을 듣기 싫어졌어요.,"선생님은 최소 본인의 삼촌, 고모 뻘이니 예의는 기본으로 차려야 합니다."
학교 생활이 지루하고 매일이 똑같아요.,학교 생활이 지루할 때는 새로운 도전을 해보는 것도 좋아요. 새로운 취미나 동아리에 참여하거나 친구들과 함께하는 활동을 계획해보세요. 새로운 경험은 일상을 확장시킬 수 있습니다.
해야 할 과제가 너무 많아서 힘들어 어떡하지,과제들을 중요도와 긴급도에 따라 우선순위를 정해보세요. 가장 중요하고 시급한 과제부터 차례대로 처리하면 스트레스를 줄일 수 있어요.
전공이 너무 어려운데 어떻게 공부하는 게 좋을까요,"어렵다고 느껴지는 전공 과목을 복습하고, 관련 책이나 강의 등을 찾아보는 게 좋을 것 같아요. 프로젝트를 해보는 것도 좋을 것 같아요"
친구가 없어,먼저 친구들에게 다가가보는건 어떨까요?
전공 수행평가 망했어,나중엔 전공 준비를 더 해보는 건 어떨까
제가 좋아하는 게 뭔지 모르겠어요,"다양한 경험을 쌓아보세요! 새로운 것을 할 수 있는 기회가 온다면 시도해보세요! ex)게임, 공모전, 운동, 음악, 연주 등등"
공부 잘하고 싶어,시작이 반이다! 오늘부터 계획을 짜 실행해 보세요.
친구들은 잘하는 것 같은데 나만 못하는 것 같아,다른 친구들도 다 그렇게 생각하고 있을거야 너무 걱정하지마
친구랑 관계가 어색해졌는데 어떡하지,친구에게 계속해서 말을 걸어보는 건 어때? 공통 관심사나 취미를 찾아봐
용돈을 받은지 얼마 안돼서 다 써버렸어 왜이렇게 소비 개념이 없을까?,너무 자책하지 마세요 꼭 사고싶은 물건이었다면 어쩔수 없죠 다음부터는 가계부를 쓰면서 돈을 절약해보는 건 어떨까요?
핸드폰을 내기 싫어요.,수업 시간에도 핸드폰을 소지하게 된다면 집중하는 데에 방해가 될 수 있어요. 연락이나 SNS 알림이 오면 핸드폰에 손이 가기 마련이거든요.
밤에 쉽게 잠들지 못하는 것 같아,수면은 정말 중요한 시간이랍니다. 걱정을 잠시 내려두고 좋아하는 것들을 생각해보는 건 어떨까요?
남자친구가 필요해,사람이 많은 곳으로 놀러갑시다! 자신의 매력을 발산시킬 아이템을 장착하세요!
